mint,action,confidence,reasoning,modelLatencyMs
D664MthKpwDS4AS1fZs8RUYxcHndYX77uPVtsQUgyHad,BUY,0.72,"Strong momentum with volume acceleration, healthy holder count, mid-curve position at 64%, zero dev dumping, and 664 clean prior launches signal confidence in graduation window.",1702
4bKZEJRQDnF9c8FPhbP8gryoq6gfervGryg3oBxBpump,BUY,0.72,"Token at 78% bonding curve with strong volume acceleration, healthy 239 holders (19.6% top-10 concentration), clean dev history, but zero holder growth in last minute is concerning.",1824
84pxM65G3sRyCY7su8s9WCiCU3DiV9nHpbx9u3Wqpump,BUY,0.72,"Strong momentum acceleration with healthy 122 unique holders at 63% curve progress, clean dev history with zero sales, though flat holder growth and modest top-10 concentration (21.78%) warrant measured conviction.",1719
6D8XQvpWcPiMeXdvjYbquy5ei331gWnM5fQjpqkopump,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder count, dev holding majority stake with no rug history, and Asian-themed meta alignment despite slight top-10 concentration.",1975
9V9KGs44ovM9b8MiDkeKphyQN5f7GTBw5YknDcxapump,SKIP,0.75,"Holder growth stalled at zero per minute despite volume acceleration signals weakness in conviction, and meta tags misalign with current pump.fun trends.",1836
2a35LaGkdVuxjM18Y7FHXbZg9BmeTEVTauSoyu1Vpump,BUY,0.72,"Token at 42% curve with zero dev dump, healthy 89 holders, volume accelerating, and clean launch history confirms graduation-window entry setup.",1572
2qpQJKffQhEgVpHr99K6V1YHJ8sYNvgSFSa5Anrapump,BUY,0.72,"Mid-curve SHIB with strong volume acceleration, healthy holder distribution, dev holding full bag, and good meta fit; 315 unique holders with only 18% top-10 concentration signals legitimate interest.",1655
EHy75ASA9Q876xVzyKwi5PoBTcsehs8UTSAADD5Gpump,BUY,0.72,"Strong momentum with volume acceleration, healthy mid-curve position at 54.9%, low dev dump risk (0% sold, no rugs), and 94 unique holders despite high top-10 concentration; fits meme meta but holder growth stalled at 0/min is the main caution.",2145
ADjjViYywxoZovwPVgf39NzxuiHkVVmHYNWpkoHrpump,BUY,0.72,"Token near graduation (86.6% curve), strong volume acceleration, healthy 258 holders with low dev dump risk, dev has clean track record, and fits volatile/edgy meta tags perfectly.",2113
9yp6nCYMwoh2Vb3CRA1dqUUZMNwfSgMV8Saj86GYpump,BUY,0.72,"Mid-curve position with accelerating volume, healthy holder count, clean dev history, and zero dev selling; holder growth stalled but multiple signals align for graduation-window entry.",1662
Fp6m1xcr1uaFJWRTyaB5JkeFcr8RAQDXvfKhMKJXpump,BUY,0.72,"Mid-curve position with volume acceleration, healthy holder count, clean dev history, and zero sells; holder growth stalling is the only concern but momentum signals align.",1841
HLzJbyvsJBvTNXnDF486NFu9yJs8RqPKH8C32uzYpump,BUY,0.72,"Strong bonding curve progress (88%), zero dev selling, accelerating volume, healthy holder count, and no rug history confirm graduation-window setup with acceptable risk.",2195
24p1wDm4ydwFCgCQmuQUXm8gr9MvEfcSPZkDMxGUpump,SKIP,0.72,"Holder growth stalled at zero per minute despite volume acceleration, signaling momentum may be peaking near 59% curve position without sustained conviction.",1787
61YnqhhrYgj5ahW52U4mGYuzokYvAATCLBxtgoYNpump,BUY,0.72,"Mid-curve position with volume acceleration, zero dev red flags, healthy holder count, and game-meta alignment; holder growth stalled slightly but other signals confirm momentum window.",2099
CmFLTZfo9u7eCrD1Z7rcpPrShDq7XeAhA7EPmBgVpump,BUY,0.72,"Mid-curve positioning at 70%, volume accelerating, dev holding full bag with clean history, 301 holders with reasonable distribution, and meta alignment; however, flat holder growth and elevated top-10 concentration (32%) prevent higher conviction.",1902
CifrqjUZkME94YQNUafKgz7fBn2ANdZ5HGCeifbypump,BUY,0.72,"Token at 78% curve with accelerating volume, healthy 187 holders, zero dev selling, and clean launch history—multiple signals align for graduation-window entry.",3462
